feat_56,feat_7,feat_69,feat_12,feat_70,feat_51,feat_20,feat_21,feat_61,feat_23,target
0,0,0,0,0,0,0,0,0,0,Class_2
1,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,1,0,0,6,5,0,Class_6
0,0,0,0,6,0,0,0,0,0,Class_3
0,0,0,0,2,0,0,0,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,1,4,0,Class_6
1,0,0,0,7,0,1,1,0,0,Class_2
0,0,0,0,0,0,1,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_2
2,0,0,0,0,0,0,0,0,0,Class_9
0,0,0,0,1,0,0,0,0,0,Class_3
0,1,0,0,0,0,0,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_8
0,0,0,0,0,0,0,2,0,0,Class_9
7,0,0,0,7,0,1,0,0,0,Class_3
0,0,0,0,1,0,0,0,0,0,Class_9
0,0,0,0,2,0,0,0,0,0,Class_4
1,0,1,0,0,0,0,0,3,0,Class_6
0,0,0,0,4,0,4,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_3
0,2,1,0,1,0,0,1,7,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,2,0,0,Class_7
0,0,0,0,0,0,1,0,0,0,Class_3
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
12,0,0,0,1,0,1,0,0,0,Class_3
5,0,0,0,0,0,0,0,0,0,Class_4
0,0,0,0,0,0,0,0,0,0,Class_6
0,2,1,0,0,0,6,0,0,0,Class_1
0,0,0,0,1,0,2,0,0,0,Class_7
0,0,0,0,0,0,0,0,0,0,Class_9
2,0,0,0,0,0,1,4,5,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_9
1,0,0,0,0,0,1,0,0,0,Class_6
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_4
0,2,0,0,3,2,1,1,5,0,Class_6
0,0,1,0,1,0,0,0,2,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,0,0,Class_2
0,0,0,0,1,0,0,0,3,1,Class_6
0,0,0,0,1,0,1,0,0,0,Class_3
0,0,0,0,1,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_2
0,0,0,0,0,0,0,0,0,0,Class_8
1,0,0,3,3,0,0,0,0,0,Class_2
0,0,0,0,2,0,0,0,0,0,Class_5
0,0,0,0,1,0,2,0,0,3,Class_8
0,0,0,0,0,0,0,0,0,0,Class_6
0,0,0,0,0,0,0,2,0,0,Class_3
0,0,0,0,0,0,0,0,0,0,Class_1
0,3,0,0,2,0,4,0,0,0,Class_1
0,0,0,0,0,1,0,0,0,0,Class_6
0,0,0,0,0,0,0,0,0,0,Class_5
0,0,0,1,0,0,4,0,0,0,Class_8
1,1,9,0,0,0,3,0,0,3,Class_8
0,0,0,0,0,0,0,0,0,0,Class_6
2,0,0,1,1,0,0,1,0,0,Class_8
0,0,0,0,0,0,0,0,0,0,Class_3
